"country","MostPeaceful2023GPI","MostPeaceful2022GPI","MostPeaceful2021GPI"
"India",2.314,2.578,2.553
"China",2.009,2.01,2.114
"United States",2.448,2.44,2.337
"Indonesia",1.829,1.8,1.783
"Pakistan",2.745,2.789,2.868
"Nigeria",2.713,2.725,2.712
"Brazil",2.462,2.465,2.43
"Bangladesh",2.051,2.067,2.068
"Russia",3.142,3.275,2.993
"Ethiopia",2.872,2.806,2.613
"Mexico",2.599,2.612,2.62
"Japan",1.336,1.336,1.373
"Egypt",2.267,2.342,2.397
"Philippines",2.229,2.339,2.417
"DR Congo",3.214,3.166,3.196
"Vietnam",1.745,1.786,1.835
"Iran",2.8,2.687,2.637
"Turkey",2.8,2.785,2.843
"Germany",1.456,1.462,1.48
"Thailand",2.061,2.098,2.205
"United Kingdom",1.693,1.667,1.658
"Tanzania",2.058,2.001,1.892
"France",1.939,1.895,1.868
"South Africa",2.405,2.283,2.344
"Italy",1.662,1.643,1.652
"Kenya",2.254,2.303,2.254
"Myanmar",2.741,2.631,2.457
"Colombia",2.693,2.729,2.694
"South Korea",1.763,1.779,1.877
"Sudan",3.023,3.007,2.936
"Uganda",2.3,2.309,2.219
"Spain",1.649,1.603,1.621
"Algeria",2.094,2.146,2.31
"Iraq",3.006,3.157,3.257
"Argentina",1.837,1.911,1.945
"Afghanistan",3.448,3.554,3.631
"Yemen",3.35,3.394,3.407
"Canada",1.35,1.389,1.33
"Poland",1.634,1.552,1.524
"Morocco",2.02,1.969,2.015
"Angola",2.02,1.982,2.017
"Ukraine",3.043,2.971,2.66
"Uzbekistan",2.033,2.001,2.062
"Malaysia",1.513,1.471,1.515
"Mozambique",2.259,2.316,2.123
"Ghana",1.799,1.759,1.715
"Peru",2.13,2.091,2.034
"Saudi Arabia",2.26,2.288,2.376
"Madagascar",1.846,1.995,1.963
"Ivory Coast",2.053,2.144,2.123
"Nepal",2.006,1.947,2.033
"Cameroon",2.66,2.709,2.7
"Venezuela",2.693,2.798,2.934
"Niger",2.625,2.655,2.589
"Australia",1.525,1.565,1.47
"North Korea",2.848,2.942,2.923
"Syria",3.294,3.356,3.371
"Mali",2.963,2.911,2.813
"Burkina Faso",2.868,2.786,2.527
"Taiwan",1.649,1.618,1.662
"Sri Lanka",2.136,2.02,2.083
"Malawi",1.97,1.895,1.909
"Zambia",1.898,1.841,1.964
"Kazakhstan",1.98,2.071,1.936
"Chad",2.699,2.591,2.489
"Chile",1.874,1.84,1.831
"Romania",1.649,1.64,1.53
"Somalia",3.036,3.125,3.211
"Senegal",1.827,1.916,1.864
"Guatemala",2.13,2.139,2.195
